[BEGIN] 2016/5/13 11:40:16
ps -ef  
UID        PID  PPID  C STIME TTY          TIME CMD
root         1     0  0  2015 ?        00:01:44 /sbin/init
root         2     0  0  2015 ?        00:00:00 [kthreadd]
root         3     2  0  2015 ?        00:03:56 [migration/0]
root         4     2  0  2015 ?        00:15:55 [ksoftirqd/0]
root         5     2  0  2015 ?        00:00:00 [migration/0]
root         6     2  0  2015 ?        00:02:01 [watchdog/0]
root         7     2  0  2015 ?        00:04:40 [migration/1]
root         8     2  0  2015 ?        00:00:00 [migration/1]
root         9     2  0  2015 ?        00:11:06 [ksoftirqd/1]
root        10     2  0  2015 ?        00:01:57 [watchdog/1]
root        11     2  0  2015 ?        00:02:47 [migration/2]
root        12     2  0  2015 ?        00:00:00 [migration/2]
root        13     2  0  2015 ?        00:08:45 [ksoftirqd/2]
root        14     2  0  2015 ?        00:02:03 [watchdog/2]
root        15     2  0  2015 ?        00:02:34 [migration/3]
root        16     2  0  2015 ?        00:00:00 [migration/3]
root        17     2  0  2015 ?        00:09:07 [ksoftirqd/3]
root        18     2  0  2015 ?        00:02:05 [watchdog/3]
root        19     2  0  2015 ?        00:02:09 [migration/4]
root        20     2  0  2015 ?        00:00:00 [migration/4]
root        21     2  0  2015 ?        00:07:53 [ksoftirqd/4]
root        22     2  0  2015 ?        00:02:08 [watchdog/4]
root        23     2  0  2015 ?        00:01:48 [migration/5]
root        24     2  0  2015 ?        00:00:00 [migration/5]
root        25     2  0  2015 ?        00:06:33 [ksoftirqd/5]
root        26     2  0  2015 ?        00:02:05 [watchdog/5]
root        27     2  0  2015 ?        00:01:32 [migration/6]
root        28     2  0  2015 ?        00:00:00 [migration/6]
root        29     2  0  2015 ?        00:06:04 [ksoftirqd/6]
root        30     2  0  2015 ?        00:02:02 [watchdog/6]
root        31     2  0  2015 ?        00:01:27 [migration/7]
root        32     2  0  2015 ?        00:00:00 [migration/7]
root        33     2  0  2015 ?        00:05:39 [ksoftirqd/7]
root        34     2  0  2015 ?        00:02:00 [watchdog/7]
root        35     2  0  2015 ?        00:01:19 [migration/8]
root        36     2  0  2015 ?        00:00:00 [migration/8]
root        37     2  0  2015 ?        00:05:41 [ksoftirqd/8]
root        38     2  0  2015 ?        00:02:08 [watchdog/8]
root        39     2  0  2015 ?        00:01:12 [migration/9]
root        40     2  0  2015 ?        00:00:00 [migration/9]
root        41     2  0  2015 ?        00:05:23 [ksoftirqd/9]
